vehicleId ; carrierId ; vehicleTypeId ; tourId ; tourDuration[s] ; travelDistance[m] ; costPerSecond[EUR/s] ; costPerMeter[EUR/m] ; fixedCosts[EUR] ; varCostsTime[EUR] ; varCostsDist[EUR] ; totalCosts[EUR];summe
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_1;edeka_SUPERMARKT_TROCKEN;heavy26t;1;35363.0;226819.93447349418;0.0049;6.7E-4;82.6;173.2787;151.9693560972411;407.84805609724106;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_10;edeka_SUPERMARKT_TROCKEN;heavy26t;10;34057.0;199542.94280825826;0.0049;6.7E-4;82.6;166.8793;133.69377168153304;383.17307168153303;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_11;edeka_SUPERMARKT_TROCKEN;heavy26t;11;34098.0;188334.30311121707;0.0049;6.7E-4;82.6;167.0802;126.18398308451545;375.86418308451545;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_12;edeka_SUPERMARKT_TROCKEN;heavy26t;12;22598.0;124759.7649711663;0.0049;6.7E-4;82.6;110.7302;83.58904253068143;276.9192425306814;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_13;edeka_SUPERMARKT_TROCKEN;heavy26t;13;32685.0;186966.48673243582;0.0049;6.7E-4;82.6;160.1565;125.267546110732;368.024046110732;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_14;edeka_SUPERMARKT_TROCKEN;heavy26t;14;15979.0;82819.51325791058;0.0049;6.7E-4;82.6;78.2971;55.48907388280009;216.38617388280008;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_15;edeka_SUPERMARKT_TROCKEN;heavy26t;15;22238.0;135562.8001820217;0.0049;6.7E-4;82.6;108.9662;90.82707612195453;282.3932761219545;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_16;edeka_SUPERMARKT_TROCKEN;heavy26t;16;13182.0;71239.76244956133;0.0049;6.7E-4;82.6;64.59179999999999;47.73064084120609;194.92244084120608;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_17;edeka_SUPERMARKT_TROCKEN;heavy26t;17;13691.0;73614.63707148243;0.0049;6.7E-4;82.6;67.0859;49.32180683789323;199.00770683789324;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_18;edeka_SUPERMARKT_TROCKEN;heavy26t;18;18656.0;112270.05650968464;0.0049;6.7E-4;82.6;91.4144;75.22093786148871;249.2353378614887;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_2;edeka_SUPERMARKT_TROCKEN;heavy26t;2;31856.0;216768.5400215069;0.0049;6.7E-4;82.6;156.0944;145.23492181440963;383.9293218144096;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_3;edeka_SUPERMARKT_TROCKEN;heavy26t;3;32124.0;215048.36784594803;0.0049;6.7E-4;82.6;157.4076;144.08240645678518;384.0900064567852;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_4;edeka_SUPERMARKT_TROCKEN;heavy26t;4;36197.0;245665.92681731566;0.0049;6.7E-4;82.6;177.3653;164.5961709676015;424.56147096760145;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_5;edeka_SUPERMARKT_TROCKEN;heavy26t;5;35479.0;231082.78007515462;0.0049;6.7E-4;82.6;173.84709999999998;154.8254626503536;411.27256265035356;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_6;edeka_SUPERMARKT_TROCKEN;heavy26t;6;36060.0;224065.57924199372;0.0049;6.7E-4;82.6;176.694;150.1239380921358;409.4179380921358;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_7;edeka_SUPERMARKT_TROCKEN;heavy26t;7;32550.0;228978.68539313553;0.0049;6.7E-4;82.6;159.495;153.41571921340082;395.5107192134008;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_8;edeka_SUPERMARKT_TROCKEN;heavy26t;8;27500.0;149154.41823359788;0.0049;6.7E-4;82.6;134.75;99.93346021651058;317.28346021651055;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_9;edeka_SUPERMARKT_TROCKEN;heavy26t;9;35198.0;205832.275723971;0.0049;6.7E-4;82.6;172.4702;137.90762473506058;392.9778247350606;1
freight_edeka_SUPERMARKT_TROCKEN_veh_medium18t_59933_19;edeka_SUPERMARKT_TROCKEN;medium18t;19;25291.0;148093.6598531117;0.0049;6.5E-4;80.47;123.9259;96.2608789045226;300.6567789045226;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_1;lidl_DISCOUNTER_FRISCHE;heavy26t;1;17918.0;115550.96386580305;0.0049;6.7E-4;82.6;87.7982;77.41914579008804;247.817345790088;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_10;lidl_DISCOUNTER_FRISCHE;heavy26t;10;18107.0;71572.62620734987;0.0049;6.7E-4;82.6;88.7243;47.953659558924414;219.2779595589244;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_11;lidl_DISCOUNTER_FRISCHE;heavy26t;11;18633.0;78329.05642055183;0.0049;6.7E-4;82.6;91.3017;52.48046780176973;226.38216780176973;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_12;lidl_DISCOUNTER_FRISCHE;heavy26t;12;16432.0;59664.49331027661;0.0049;6.7E-4;82.6;80.5168;39.97521051788533;203.09201051788534;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_13;lidl_DISCOUNTER_FRISCHE;heavy26t;13;17651.0;73428.23894184992;0.0049;6.7E-4;82.6;86.48989999999999;49.19692009103945;218.28682009103946;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_14;lidl_DISCOUNTER_FRISCHE;heavy26t;14;17004.0;80181.5767354565;0.0049;6.7E-4;82.6;83.3196;53.721656412755856;219.64125641275587;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_15;lidl_DISCOUNTER_FRISCHE;heavy26t;15;18021.0;65960.79177688068;0.0049;6.7E-4;82.6;88.3029;44.193730490510056;215.09663049051005;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_16;lidl_DISCOUNTER_FRISCHE;heavy26t;16;17676.0;64460.73575146945;0.0049;6.7E-4;82.6;86.6124;43.188692953484534;212.40109295348452;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_17;lidl_DISCOUNTER_FRISCHE;heavy26t;17;14885.0;52929.93803989064;0.0049;6.7E-4;82.6;72.9365;35.46305848672673;190.99955848672673;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_18;lidl_DISCOUNTER_FRISCHE;heavy26t;18;14115.0;49367.18228818935;0.0049;6.7E-4;82.6;69.1635;33.07601213308687;184.83951213308686;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_19;lidl_DISCOUNTER_FRISCHE;heavy26t;19;15344.0;58665.135683672124;0.0049;6.7E-4;82.6;75.1856;39.305640908060326;197.0912409080603;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_20;lidl_DISCOUNTER_FRISCHE;heavy26t;20;20887.0;89459.77024075793;0.0049;6.7E-4;82.6;102.3463;59.938046061307816;244.88434606130784;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_21;lidl_DISCOUNTER_FRISCHE;heavy26t;21;14429.0;49133.96618741354;0.0049;6.7E-4;82.6;70.7021;32.91975734556707;186.22185734556706;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_22;lidl_DISCOUNTER_FRISCHE;heavy26t;22;13744.0;42701.50123327139;0.0049;6.7E-4;82.6;67.3456;28.610005826291832;178.55560582629184;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_23;lidl_DISCOUNTER_FRISCHE;heavy26t;23;13983.0;42514.084888953854;0.0049;6.7E-4;82.6;68.5167;28.484436875599084;179.60113687559905;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_24;lidl_DISCOUNTER_FRISCHE;heavy26t;24;14154.0;44721.8815769794;0.0049;6.7E-4;82.6;69.35459999999999;29.9636606565762;181.91826065657617;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_25;lidl_DISCOUNTER_FRISCHE;heavy26t;25;14032.0;37049.564044022045;0.0049;6.7E-4;82.6;68.7568;24.82320790949477;176.18000790949475;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_26;lidl_DISCOUNTER_FRISCHE;heavy26t;26;11697.0;33268.20389105699;0.0049;6.7E-4;82.6;57.3153;22.289696607008185;162.20499660700818;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_27;lidl_DISCOUNTER_FRISCHE;heavy26t;27;14872.0;49501.89274364498;0.0049;6.7E-4;82.6;72.8728;33.16626813824214;188.63906813824215;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_28;lidl_DISCOUNTER_FRISCHE;heavy26t;28;13858.0;36227.41581442997;0.0049;6.7E-4;82.6;67.9042;24.272368595668084;174.7765685956681;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_29;lidl_DISCOUNTER_FRISCHE;heavy26t;29;13868.0;36610.685248028734;0.0049;6.7E-4;82.6;67.9532;24.529159116179255;175.08235911617925;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_3;lidl_DISCOUNTER_FRISCHE;heavy26t;3;18395.0;79292.05395522107;0.0049;6.7E-4;82.6;90.1355;53.12567614999812;225.86117614999813;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_4;lidl_DISCOUNTER_FRISCHE;heavy26t;4;18923.0;79987.1046385113;0.0049;6.7E-4;82.6;92.7227;53.59136010780257;228.91406010780258;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_5;lidl_DISCOUNTER_FRISCHE;heavy26t;5;19140.0;91362.54284193486;0.0049;6.7E-4;82.6;93.786;61.21290370409636;237.59890370409636;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_6;lidl_DISCOUNTER_FRISCHE;heavy26t;6;17541.0;80989.56703867686;0.0049;6.7E-4;82.6;85.9509;54.2630099159135;222.8139099159135;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_7;lidl_DISCOUNTER_FRISCHE;heavy26t;7;17641.0;83494.78257522729;0.0049;6.7E-4;82.6;86.4409;55.941504325402285;224.98240432540229;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_8;lidl_DISCOUNTER_FRISCHE;heavy26t;8;17756.0;69766.14379843633;0.0049;6.7E-4;82.6;87.0044;46.74331634495234;216.34771634495235;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_9;lidl_DISCOUNTER_FRISCHE;heavy26t;9;15430.0;62821.905576769605;0.0049;6.7E-4;82.6;75.607;42.09067673643564;200.29767673643562;1
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_35493_2;lidl_DISCOUNTER_FRISCHE;heavy26t;2;31682.0;172257.34235559966;0.0049;6.7E-4;82.6;155.24179999999998;115.41241937825177;353.2542193782517;1
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_1;lidl_DISCOUNTER_TIEFKUEHL;heavy26t_frozen;1;36575.0;147495.41733033897;0.0049;6.7E-4;82.6;179.2175;98.8219296113271;360.6394296113271;1
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_2;lidl_DISCOUNTER_TIEFKUEHL;heavy26t_frozen;2;33604.0;111732.31237924824;0.0049;6.7E-4;82.6;164.65959999999998;74.86064929409632;322.1202492940963;1
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_159381_3;lidl_DISCOUNTER_TIEFKUEHL;light8t_frozen;3;15547.0;64065.801179845585;0.0049;4.0E-4;63.49;76.1803;25.626320471938236;165.29662047193824;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_10;lidl_DISCOUNTER_TROCKEN;heavy26t;10;28081.0;101307.25407693212;0.0049;6.7E-4;82.6;137.5969;67.87586023154452;288.0727602315445;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_11;lidl_DISCOUNTER_TROCKEN;heavy26t;11;35219.0;147780.0745251279;0.0049;6.7E-4;82.6;172.57309999999998;99.01264993183568;354.18574993183563;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_13;lidl_DISCOUNTER_TROCKEN;heavy26t;13;36124.0;126095.62656660358;0.0049;6.7E-4;82.6;177.0076;84.4840697996244;344.09166979962436;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_14;lidl_DISCOUNTER_TROCKEN;heavy26t;14;36255.0;106224.29275900025;0.0049;6.7E-4;82.6;177.6495;71.17027614853016;331.41977614853016;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_16;lidl_DISCOUNTER_TROCKEN;heavy26t;16;33707.0;81263.12566106241;0.0049;6.7E-4;82.6;165.1643;54.446294192911814;302.2105941929118;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_3;lidl_DISCOUNTER_TROCKEN;heavy26t;3;29462.0;131674.07115364863;0.0049;6.7E-4;82.6;144.3638;88.22162767294459;315.18542767294457;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_4;lidl_DISCOUNTER_TROCKEN;heavy26t;4;30824.0;127388.9690003634;0.0049;6.7E-4;82.6;151.0376;85.35060923024348;318.98820923024346;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_5;lidl_DISCOUNTER_TROCKEN;heavy26t;5;27791.0;118184.76702402579;0.0049;6.7E-4;82.6;136.17589999999998;79.18379390609728;297.95969390609724;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_6;lidl_DISCOUNTER_TROCKEN;heavy26t;6;30202.0;121325.31479267355;0.0049;6.7E-4;82.6;147.9898;81.28796091109129;311.8777609110913;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_7;lidl_DISCOUNTER_TROCKEN;heavy26t;7;28139.0;117941.1166832968;0.0049;6.7E-4;82.6;137.8811;79.02054817780886;299.5016481778089;1
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_8;lidl_DISCOUNTER_TROCKEN;heavy26t;8;29304.0;114560.67843073691;0.0049;6.7E-4;82.6;143.5896;76.75565454859372;302.9452545485937;1
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_1;lidl_DISCOUNTER_TROCKEN;medium18t;1;35300.0;243720.61504223014;0.0049;6.5E-4;80.47;172.97;158.4183997774496;411.85839977744956;1
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_12;lidl_DISCOUNTER_TROCKEN;medium18t;12;31926.0;136447.57843121415;0.0049;6.5E-4;80.47;156.4374;88.6909259802892;325.5983259802892;1
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_15;lidl_DISCOUNTER_TROCKEN;medium18t;15;35848.0;135062.16932469298;0.0049;6.5E-4;80.47;175.6552;87.79041006105044;343.9156100610504;1
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_17;lidl_DISCOUNTER_TROCKEN;medium18t;17;35451.0;112357.27983078672;0.0049;6.5E-4;80.47;173.7099;73.03223189001136;327.2121318900114;1
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_18;lidl_DISCOUNTER_TROCKEN;medium18t;18;16603.0;47760.357433604964;0.0049;6.5E-4;80.47;81.3547;31.044232331843226;192.86893233184324;1
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_9;lidl_DISCOUNTER_TROCKEN;medium18t;9;34327.0;159723.87115495343;0.0049;6.5E-4;80.47;168.2023;103.82051625071973;352.4928162507197;1
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_35493_2;lidl_DISCOUNTER_TROCKEN;medium18t;2;8776.0;82240.96394364076;0.0049;6.5E-4;80.47;43.0024;53.45662656336649;176.92902656336648;1
